year,v0.10.0,v0.12.0,v0.14.0,v1.0.0rc5,v1.0.0,v1.1.0
1867,1.0092764542936283,0.9993484764542936,0.9984986149584488,0.9984986149584488,0.9984986149584488,0.9984986149584487
1868,1.002579222926426,1.002579222926426,1.0010721961972997,1.0010721961972997,1.0010721961972997,1.0010721961972997
1869,0.9916618188869498,0.989947409860562,0.9860839457313326,0.9860839457313326,0.9860839457313326,0.9860839457313326
1870,1.0184555365825738,1.0120925317013432,1.0004902660241988,1.0004902660241988,1.0004902660241988,1.0004902660241988
1871,1.0414319558412433,1.0294014326945504,1.025997548609279,1.025997548609279,1.025997548609279,1.025997548609279
1872,1.00839672033982,1.0111626988047022,0.9977781227410782,0.9977781227410782,0.9977781227410782,0.9977781227410782
1873,0.9991341817010309,1.0014967246563575,0.9962299030436916,0.9962299030436916,0.9962299030436916,0.9962299030436916
1874,1.0191204016675115,1.0104034631851728,1.0054746035434623,1.0054746035434623,1.0054746035434623,1.0054746035434623
1875,1.0033112013210403,0.9996462318242282,0.9934515618549608,0.9934515618549608,0.9934515618549608,0.9934515618549609
1876,0.9981960985563024,0.9946363944072694,0.991794394986442,0.991794394986442,0.991794394986442,0.991794394986442
1877,1.0043177523683504,0.997894570628932,0.996107759277054,0.996107759277054,0.996107759277054,0.996107759277054
1878,1.018034446984295,1.0099378864875754,1.0055816362514325,1.0055816362514325,1.0055816362514325,1.0055816362514325
1879,1.0093485481624342,1.0026786670952532,0.9991963998714236,0.9991963998714236,0.9991963998714236,0.9991963998714237
1880,1.0154621848739496,0.998935574229692,0.9970448179271711,0.9970448179271708,0.9970448179271708,0.9970448179271708
1881,1.0133998855016455,1.007597901597472,1.0021197792236864,1.0021197792236864,1.0021197792236864,1.0021197792236864
1882,1.000976922509769,0.9974931799749316,0.9936420401305952,0.9936420401305952,0.9936420401305952,0.9936420401305952
1883,1.0132178489287251,1.0010549688407768,0.9988960469406888,0.998896046940689,0.998896046940689,0.998896046940689
1884,1.0070709146968138,1.0026310380267214,0.9957489098873468,0.9957489098873468,0.9957489098873468,0.9957489098873469
1885,1.0150900870052215,1.0100253086729762,1.0052660454399494,1.0052660454399494,1.0052660454399494,1.0052660454399494
1886,1.0222699048466737,1.0119588022124737,1.0051783330154491,1.0051783330154491,1.0051783330154491,1.0051783330154493
1887,1.1866438152130312,1.153742885399828,1.1285553141545293,1.1285553141545293,1.1309046713084507,1.1309046713084507
1888,1.0130208333333333,1.0023138372747749,0.9962003018643644,0.9962003018643644,0.9962003018643644,0.9962003018643643
1889,1.0182457163385694,1.0057144989335318,1.003935085152577,1.003935085152577,1.003935085152577,1.003935085152577
1890,1.0175356758078695,1.011961392794115,1.0061400725744083,1.0061400725744083,1.0061400725744083,1.0061400725744085
1891,1.0045830869308103,0.9953223749582624,0.9941909348008868,0.9941909348008864,0.9941909348008864,0.9941909348008865
1892,1.0829600219369284,1.0621806784535035,1.059308205320558,1.059308205320558,1.059308205320558,1.059308205320558
1893,1.0031014621178556,1.0,0.993402591547544,0.993402591547544,0.993402591547544,0.9934025915475441
1894,1.0045637743006166,1.00019845392406,0.999936068534531,0.999936068534531,0.999936068534531,0.999936068534531
1895,0.9944082125603868,0.9897433574879227,0.9896316425120774,0.9896316425120774,0.9896316425120774,0.9896316425120774
1896,0.9952569169960476,0.9952569169960476,0.9908780903665816,0.9908780903665816,0.9908780903665816,0.9908780903665815
1897,1.0045217391304346,1.0009565217391303,0.999459420289855,0.999459420289855,0.999459420289855,0.999459420289855
1898,1.0068460245015611,0.997717991832813,0.996777964608856,0.996777964608856,0.996777964608856,0.9967779646088559
1899,1.0031999999999996,0.9987809523809524,0.9945722567287788,0.9945722567287784,0.9945722567287784,0.9945722567287785
1900,1.0021291448516578,0.9953608012747552,0.9941361256544502,0.9941361256544502,0.9941361256544502,0.9941361256544502
1901,1.0052759197324417,1.0000515607580824,0.9989506688963208,0.998950668896321,0.998950668896321,0.998950668896321
1902,0.9977287475665152,0.9968332251784556,0.9923498449780084,0.9923498449780084,0.9923498449780084,0.9923498449780084
1903,1.011713554987212,1.0041943734015348,1.0036968146942573,1.0036968146942573,1.0036968146942573,1.0036968146942573
1904,1.0119267734553774,1.0050587337909995,1.00457055682685,1.00457055682685,1.00457055682685,1.00457055682685
1905,1.05569200132758,1.0234561345281556,1.0201084190729062,1.0201084190729062,1.0201084190729062,1.0201084190729062
1906,1.0065144596651447,1.0001230891403612,0.9992257296009528,0.9992257296009528,0.9992257296009528,0.9992257296009529
1907,1.0165064102564103,1.0027313266443705,1.0007079152731326,1.0007079152731326,1.0007079152731326,1.0007079152731326
1908,1.0038830584707648,0.9944677661169417,0.9894202898550724,0.9894202898550724,0.9894202898550724,0.9894202898550725
1909,1.0144544708777687,1.0016570959803115,1.0001736395952965,1.0001736395952965,1.0001736395952965,1.0001736395952965
1910,1.0072514619883042,0.994830917874396,0.993335875921688,0.9933358759216884,0.9933358759216884,0.9933358759216883
1911,1.0047554347826089,0.9909756728778468,0.979138198757764,0.979138198757764,0.979138198757764,0.979138198757764
1912,1.0054901120868136,1.003005640037124,0.9922224601984722,0.9922224601984722,0.9922224601984722,0.9922224601984722
1913,1.0184476650563608,1.0020354267310787,1.0002950080515296,1.0002950080515296,1.0002950080515296,1.0002950080515296
1914,1.1364444444444446,1.0966395215090867,1.0927784679089028,1.0927784679089028,1.0927784679089028,1.0927784679089028
1915,1.0142486651411131,1.0032773963895243,1.001018306636155,1.001018306636155,1.001018306636155,1.0010183066361553
