version,year,accuracy
v0.0.1,1867,0.817607383741569
v0.0.1,1868,0.828926794598436
v0.0.1,1869,0.841346820008314
v0.0.1,1870,0.879944426283099
v0.0.1,1871,0.87226859808495
v0.0.1,1872,0.815255975388499
v0.0.1,1873,0.801042390548992
v0.0.1,1874,0.839335910049192
v0.0.1,1875,0.857532533954651
v0.0.1,1876,0.882966466557516
v0.0.1,1877,0.895472903731388
v0.0.1,1878,0.88424547744447
v0.0.1,1879,0.865272856130404
v0.0.1,1880,0.887909233818604
v0.0.1,1881,0.877217818044545
v0.0.1,1882,0.857393451143451
v0.0.1,1883,0.872284122562674
v0.0.1,1884,0.773532152842498
v0.0.1,1885,0.786452665941241
v0.0.1,1886,0.795676920125344
v0.0.1,1887,0.824342896409552
v0.0.1,1888,0.839910038846862
v0.0.1,1889,0.884374630920043
v0.0.1,1890,0.888942841287458
v0.0.1,1891,0.90283461052005
v0.0.1,1892,0.886234065722888
v0.0.1,1893,0.893605115907274
v0.0.1,1894,0.900690108445613
v0.0.1,1895,0.915949188426253
v0.0.1,1896,0.915629139072848
v0.0.1,1897,0.888284691629956
v0.0.1,1898,0.897452393206382
v0.0.1,1899,0.916147261697
v0.0.1,1900,0.927174305304944
v0.0.1,1901,0.925855801272342
v0.0.1,1902,0.925368227248816
v0.0.1,1903,0.928462243962091
v0.0.1,1904,0.903043650121407
v0.0.1,1905,0.927880997858424
v0.0.1,1906,0.934498567335244
v0.0.1,1907,0.938239091143816
v0.0.1,1908,0.937045106856428
v0.0.1,1909,0.901183151916706
v0.0.1,1910,0.936123195911884
v0.0.1,1911,0.935338396853384
v0.0.1,1912,0.942086102668582
v0.0.1,1913,0.951103431550867
v0.0.1,1914,0.901786339754816
v0.0.1,1915,0.904447296889157
v0.0.1,1916,0.920873598763046
v0.0.1,1917,0.911135116695568
v0.0.1,1918,0.90595089471494
v0.0.1,1919,0.897698533131007
v0.0.1,1920,0.905446293494705
v0.0.1,1921,0.926714981881794
v0.0.1,1922,0.9410140562249
v0.0.1,1923,0.957584050039093
v0.0.1,1924,0.978410413800402
v0.0.1,1925,0.967964893033461
v0.0.1,1926,0.967507645259939
v0.0.1,1927,0.977236233116086
v0.0.1,1928,0.976978550295858
v0.0.1,1929,0.951776649746193
v0.0.1,1930,0.957061305534872
v0.0.1,1931,0.959039411252058
v0.0.1,1932,0.941006097560976
v0.0.1,1933,0.949335956714215
v0.0.1,1934,0.94953454189123
v0.0.1,1935,0.943550353572299
v0.0.1,1936,0.941543482434248
v0.0.1,1937,0.976722202528654
v0.0.1,1938,0.974608388074785
v0.0.1,1939,0.946354475400118
v0.0.1,1940,0.951685128446854
v0.0.1,1941,0.95512067840835
v0.0.1,1942,0.969683206540252
v0.0.1,1943,0.952535059331176
v0.0.1,1944,0.951549295774648
v0.0.1,1945,0.945997511406056
v0.0.1,1946,0.962168758716876
v0.0.1,1947,0.972238155328668
v0.0.1,1948,0.972772914521112
v0.0.1,1949,0.958771632168307
v0.0.1,1950,0.95970900951315
v0.0.1,1951,0.963813500347947
v0.0.1,1952,0.962115414051737
v0.0.1,1953,0.947038812432349
v0.0.1,1954,0.954018365842215
v0.0.1,1955,0.949783979035342
v0.0.1,1956,0.938435284851667
v0.0.1,1957,0.963877917414722
v0.0.1,1958,0.939382139148494
v0.0.1,1959,0.94030338694913
v0.0.1,1960,0.961965731500659
v0.0.1,1961,0.967563184214083
v0.0.1,1962,0.968734304369664
v0.0.1,1963,0.965387332234518
v0.0.1,1964,0.948864809081527
v0.0.1,1965,0.961712792619848
v0.0.1,1966,0.959221547875809
v0.0.1,1967,0.961069169557233
v0.0.1,1968,0.959724550355638
v0.0.1,1969,0.962860073510556
v0.0.1,1970,0.958346748229234
v0.0.1,1971,0.956514531992485
v0.0.1,1972,0.958161832356787
v0.0.1,1973,0.950412801956987
v0.0.1,1974,0.946871378910776
v0.0.1,1975,0.937100213219616
v0.0.1,1976,0.933835005574136
v0.0.1,1977,0.950042698548249
v0.0.1,1978,0.963182491736008
v0.0.1,1979,0.959004905395936
v0.0.1,1980,0.954537604697349
v0.0.1,1981,0.965248832421031
v0.0.1,1982,0.965971406188798
v0.0.1,1983,0.97421666739501
v0.0.1,1984,0.974643773785291
v0.0.1,1985,0.963033044120362
v0.0.1,1986,0.956979599546657
v0.0.1,1987,0.963462670349074
v0.0.1,1988,0.97030959611985
v0.0.1,1989,0.975055143372769
v0.0.1,1990,0.975896964121435
v0.0.1,1991,0.975073839953626
v0.0.1,1992,0.974178675304072
v0.0.1,1993,0.987895529105045
v0.0.1,1994,0.985129030205521
v0.0.1,1995,0.979453812128614
v0.0.1,1996,0.972216776666884
v0.0.1,1997,0.97594900907089
v0.0.1,1998,0.975536267430674
v0.0.1,1999,0.949189095928226
v0.0.1,2000,0.957211547119523
v0.0.1,2001,0.964148103012599
v0.0.1,2002,0.956537914229113
v0.0.1,2003,0.972531707658889
v0.0.1,2004,0.981259207380395
v0.0.1,2005,0.982153606458695
v0.0.1,2006,0.982743351306296
v0.0.1,2007,0.984237657437424
v0.0.1,2008,0.984852239945278
v0.0.1,2009,0.983161004431315
v0.0.1,2010,0.985565314991974
v0.0.1,2011,0.98627438103369
v0.0.1,2012,0.988064386611673
v0.0.1,2013,0.988644341672703
v0.0.1,2014,0.988637844626376
v0.0.1,2015,0.981270194986072
v0.0.1,2016,0.983934564742883
v0.0.1,2017,0.979313830491342
v0.0.1,2018,0.976692497146633
v0.0.1,2019,0.985589463631569
v0.0.1,2020,0.988457802411291
v0.0.1,2021,0.976567917405039
v0.0.1,2022,0.95754513414371
v0.0.5,1867,0.817607383741569
v0.0.5,1868,0.8289267945984364
v0.0.5,1869,0.8413468200083137
v0.0.5,1870,0.8799444262830991
v0.0.5,1871,0.8722685980849497
v0.0.5,1872,0.8152559753884988
v0.0.5,1873,0.8010423905489924
v0.0.5,1874,0.8393359100491918
v0.0.5,1875,0.8575325339546513
v0.0.5,1876,0.8829664665575162
v0.0.5,1877,0.8954729037313882
v0.0.5,1878,0.8842454774444699
v0.0.5,1879,0.865272856130404
v0.0.5,1880,0.8879092338186043
v0.0.5,1881,0.8772178180445451
v0.0.5,1882,0.8573934511434511
v0.0.5,1883,0.8722841225626741
v0.0.5,1884,0.7735321528424977
v0.0.5,1885,0.7864526659412405
v0.0.5,1886,0.7956769201253437
v0.0.5,1887,0.8243428964095516
v0.0.5,1888,0.8399100388468616
v0.0.5,1889,0.8843746309200425
v0.0.5,1890,0.8889428412874584
v0.0.5,1891,0.9028346105200504
v0.0.5,1892,0.8862340657228877
v0.0.5,1893,0.8936051159072742
v0.0.5,1894,0.9006901084456129
v0.0.5,1895,0.9159491884262526
v0.0.5,1896,0.9156291390728476
v0.0.5,1897,0.8882846916299559
v0.0.5,1898,0.8974523932063819
v0.0.5,1899,0.916147261697
v0.0.5,1900,0.927174305304944
v0.0.5,1901,0.9258558012723416
v0.0.5,1902,0.9253682272488164
v0.0.5,1903,0.9284622439620912
